id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15713774.0,Hsieh,683.0,Germany,Male,49.0,7.0,123837.86,2.0,1.0,1.0,138700.75,1.0
1,15682533.0,Hs?eh,608.0,France,Female,30.0,10.0,0.0,2.0,1.0,1.0,146723.72,0.0
2,15791550.0,Tsou,539.0,France,Female,32.0,8.0,0.0,1.0,1.0,1.0,94873.6,0.0
3,15762762.0,Chiawuotu,530.0,Spain,Female,39.0,8.0,0.0,2.0,0.0,0.0,177896.93,0.0
4,15756475.0,Nnamdi,613.0,France,Female,45.0,10.0,0.0,2.0,1.0,1.0,116748.14,0.0
5,15719265.0,Cremonesi,656.0,France,Male,33.0,7.0,98899.76,1.0,1.0,0.0,123597.93,0.0
6,15573077.0,Chiu,758.0,Spain,Female,40.0,10.0,0.0,2.0,0.0,1.0,158043.11,0.0
7,15593636.0,Mackenzie,549.0,France,Male,53.0,8.0,0.0,1.0,0.0,0.0,80181.19,1.0
8,15691396.0,Brient,704.0,Spain,Female,49.0,9.0,80793.58,1.0,1.0,0.0,101371.72,0.0
9,15792329.0,O'Donnell,681.0,Germany,Male,34.0,9.0,117799.28,2.0,1.0,1.0,120736.04,0.0
10,15771674.0,Nnaemeka,683.0,Spain,Female,46.0,3.0,0.0,2.0,1.0,1.0,98810.78,0.0
11,15781534.0,Chimezie,686.0,France,Male,53.0,10.0,0.0,1.0,0.0,0.0,86460.28,1.0
12,15764293.0,P'eng,689.0,France,Male,32.0,6.0,0.0,1.0,1.0,1.0,141453.62,0.0
13,15594577.0,Lettiere,744.0,Germany,Female,38.0,8.0,132906.88,2.0,1.0,1.0,141756.32,0.0
14,15595588.0,Hs?,717.0,Spain,Male,47.0,0.0,109733.4,1.0,1.0,1.0,172363.41,0.0
15,15694192.0,Nnamutaezinwa,708.0,France,Male,38.0,5.0,141675.23,2.0,1.0,1.0,52327.57,0.0
16,15782364.0,Chia,724.0,France,Male,47.0,1.0,0.0,2.0,1.0,0.0,141863.77,0.0
17,15762218.0,Kambinachi,775.0,France,Male,38.0,3.0,0.0,1.0,1.0,1.0,131768.98,0.0
18,15577064.0,Obielumani,663.0,Germany,Male,50.0,4.0,107556.06,3.0,0.0,0.0,170886.89,1.0
19,15664802.0,Hs?,684.0,France,Male,35.0,0.0,0.0,2.0,0.0,1.0,183566.78,0.0
20,15723989.0,Iloerika,553.0,France,Female,31.0,8.0,96949.81,2.0,1.0,0.0,123613.81,0.0
21,15684469.0,Tseng,683.0,France,Female,40.0,1.0,0.0,1.0,1.0,0.0,51670.82,0.0
22,15594576.0,H?,598.0,Germany,Female,43.0,5.0,107879.03,1.0,1.0,0.0,184980.23,1.0
23,15593555.0,Chukwuemeka,656.0,France,Male,29.0,6.0,0.0,2.0,0.0,1.0,92888.52,0.0
24,15725141.0,Chiagoziem,705.0,France,Female,42.0,5.0,0.0,2.0,1.0,0.0,12761.92,0.0
25,15578722.0,Mancini,714.0,Spain,Male,31.0,7.0,107571.61,1.0,0.0,0.0,67611.36,0.0
26,15782550.0,Chidiegwu,565.0,France,Female,45.0,6.0,0.0,1.0,1.0,0.0,187905.12,1.0
27,15643908.0,Folliero,707.0,Spain,Female,32.0,3.0,0.0,2.0,0.0,1.0,170621.43,0.0
28,15569641.0,Hsia,724.0,France,Female,32.0,4.0,0.0,1.0,0.0,0.0,185211.28,0.0
29,15709396.0,Chibueze,607.0,France,Male,39.0,7.0,0.0,2.0,1.0,0.0,172576.43,0.0
